Device: Q-tag CLm doc LR
Vers: 1.9
Fw Vers: 4.7.04o
Device ID: 80
Sensor: 1
Conf:
 Serial: RCPJ00010
 PCB: 81622210000294
 CID: 351
 Lot: 26102012
 Zone: 0.00
 Start Delay: 30
 Max Transport: 0
 Moving Avrg: 1
 MKT Energy: 83.0
 Det Report: 11
 Display and Algorithm Options: 4
 Tol Within Limits: 1.0
 Tol Above Upper Limit: 0.5
 Tol Below Lower Limit: 0.5
 Batt Warning Limit: 2.5
 Temp Offset: 0.1
 User String 1:
 User String 2:
 User String 3:
 Restartable Options: 1
 Max Running Time: 365
 Logging Interval: 10
 Test Res: 1, Test TS: 2022-09-27 10:17
 Expired: 0
 TS Expected Exp: 2023-11-08 02:20
 Alarm:
  1:
   Type: 2, T AL: 8.0, t AL: 30
  2:
   Type: 4, T AL: 8.0, t AL: 60
  3:
   Type: 0
  4:
   Type: 3, T AL: 2.0, t AL: 60
  5:
   Type: 1, T AL: 2.0, t AL: 30
Res:
 TS Actv: 2022-11-08 02:20
 TS Start Trig: 2023-04-17 14:53
 Start Reason: 2
 TS Start: 2023-04-17 15:23
 TS Stop: 2023-04-20 13:59
 Transport: 3
 TS Batt Temp:
 TS Batt Crit:
 Min T: 9.7, TS Min T: 2023-04-18 03:53
 Max T: 12.7, TS Max T: 2023-04-17 15:23
 MKT: 10.4
 Avrg T: 10.4
 Run Number: 3
 Alarm:
  1:
   TS S: 2023-04-17 15:33, t A: 4226, TS A: 2023-04-17 16:03, TS E:, T M: 11.4, TS M: 2023-04-17 16:17
  2:
   TS S: 2023-04-17 15:33, t A: 4226, TS A: 2023-04-17 16:33
  4:
  5:
Marker:
	Number	T	yyyy-MM-dd hh:mm	
Data:
	yyyy-MM-dd hh:mm	T	Out of limits
	2023-04-18 12:43	10.6	x
	2023-04-18 12:53	10.6	x
	2023-04-18 13:03	10.6	x
	2023-04-18 13:13	10.8	x
	2023-04-18 13:23	10.7	x
	2023-04-18 13:33	10.7	x
	2023-04-18 13:43	10.9	x
	2023-04-18 13:53	10.7	x
	2023-04-18 14:03	10.8	x
	2023-04-18 14:13	10.9	x
	2023-04-18 14:23	10.7	x
	2023-04-18 14:33	10.8	x
	2023-04-18 14:43	10.9	x
	2023-04-18 14:53	10.9	x
	2023-04-18 15:03	11.1	x
	2023-04-18 15:13	11.2	x
	2023-04-18 15:23	11.1	x
	2023-04-18 15:33	11.3	x
	2023-04-18 15:43	11.2	x
	2023-04-18 15:53	11.2	x
	2023-04-18 16:03	11.3	x
	2023-04-18 16:13	11.1	x
	2023-04-18 16:23	11.1	x
	2023-04-18 16:33	11.1	x
	2023-04-18 16:43	11.0	x
	2023-04-18 16:53	11.1	x
	2023-04-18 17:03	11.1	x
	2023-04-18 17:13	11.1	x
	2023-04-18 17:23	11.2	x
	2023-04-18 17:33	11.1	x
	2023-04-18 17:43	11.2	x
	2023-04-18 17:53	11.2	x
	2023-04-18 18:03	11.1	x
	2023-04-18 18:13	11.2	x
	2023-04-18 18:23	11.1	x
	2023-04-18 18:33	10.9	x
	2023-04-18 18:43	11.1	x
	2023-04-18 18:53	10.9	x
	2023-04-18 19:03	10.9	x
	2023-04-18 19:13	11.0	x
	2023-04-18 19:23	10.7	x
	2023-04-18 19:33	10.7	x
	2023-04-18 19:43	10.9	x
	2023-04-18 19:53	10.6	x
	2023-04-18 20:03	10.6	x
	2023-04-18 20:13	10.7	x
	2023-04-18 20:23	10.6	x
	2023-04-18 20:33	10.6	x
	2023-04-18 20:43	10.8	x
	2023-04-18 20:53	10.7	x
	2023-04-18 21:03	10.6	x
	2023-04-18 21:13	10.8	x
	2023-04-18 21:23	10.7	x
	2023-04-18 21:33	10.6	x
	2023-04-18 21:43	10.8	x
	2023-04-18 21:53	10.7	x
	2023-04-18 22:03	10.7	x
	2023-04-18 22:13	10.8	x
	2023-04-18 22:23	10.7	x
	2023-04-18 22:33	10.6	x
	2023-04-18 22:43	10.7	x
	2023-04-18 22:53	10.6	x
	2023-04-18 23:03	10.6	x
	2023-04-18 23:13	10.6	x
	2023-04-18 23:23	10.6	x
	2023-04-18 23:33	10.4	x
	2023-04-18 23:43	10.5	x
	2023-04-18 23:53	10.6	x
	2023-04-19 00:03	10.4	x
	2023-04-19 00:13	10.4	x
	2023-04-19 00:23	10.6	x
	2023-04-19 00:33	10.3	x
	2023-04-19 00:43	10.2	x
	2023-04-19 00:53	10.4	x
	2023-04-19 01:03	10.4	x
	2023-04-19 01:13	10.2	x
	2023-04-19 01:23	10.3	x
	2023-04-19 01:33	10.5	x
	2023-04-19 01:43	10.4	x
	2023-04-19 01:53	10.4	x
	2023-04-19 02:03	10.5	x
	2023-04-19 02:13	10.4	x
	2023-04-19 02:23	10.3	x
	2023-04-19 02:33	10.4	x
	2023-04-19 02:43	10.4	x
	2023-04-19 02:53	10.2	x
	2023-04-19 03:03	10.3	x
	2023-04-19 03:13	10.4	x
	2023-04-19 03:23	10.3	x
	2023-04-19 03:33	10.2	x
	2023-04-19 03:43	10.3	x
	2023-04-19 03:53	10.4	x
	2023-04-19 04:03	10.2	x
	2023-04-19 04:13	10.2	x
	2023-04-19 04:23	10.4	x
	2023-04-19 04:33	10.3	x
	2023-04-19 04:43	10.2	x
	2023-04-19 04:53	10.4	x
	2023-04-19 05:03	10.4	x
	2023-04-19 05:13	10.2	x
	2023-04-19 05:23	10.3	x
	2023-04-19 05:33	10.5	x
	2023-04-19 05:43	10.3	x
	2023-04-19 05:53	10.2	x
	2023-04-19 06:03	10.3	x
	2023-04-19 06:13	10.4	x
	2023-04-19 06:23	10.3	x
	2023-04-19 06:33	10.4	x
	2023-04-19 06:43	10.5	x
	2023-04-19 06:53	10.3	x
	2023-04-19 07:03	10.2	x
	2023-04-19 07:13	10.4	x
	2023-04-19 07:23	10.4	x
	2023-04-19 07:33	10.3	x
	2023-04-19 07:43	10.4	x
	2023-04-19 07:53	10.6	x
	2023-04-19 08:03	10.4	x
	2023-04-19 08:13	10.4	x
	2023-04-19 08:23	10.6	x
	2023-04-19 08:33	10.4	x
	2023-04-19 08:43	10.4	x
	2023-04-19 08:53	10.6	x
	2023-04-19 09:03	10.4	x
	2023-04-19 09:13	10.3	x
	2023-04-19 09:23	10.4	x
	2023-04-19 09:33	10.5	x
	2023-04-19 09:43	10.4	x
	2023-04-19 09:53	10.5	x
	2023-04-19 10:03	10.6	x
	2023-04-19 10:13	10.5	x
	2023-04-19 10:23	10.6	x
	2023-04-19 10:33	10.7	x
	2023-04-19 10:43	10.4	x
	2023-04-19 10:53	10.4	x
	2023-04-19 11:03	10.6	x
	2023-04-19 11:13	10.4	x
	2023-04-19 11:23	10.4	x
	2023-04-19 11:33	10.6	x
	2023-04-19 11:43	10.5	x
	2023-04-19 11:53	10.5	x
	2023-04-19 12:03	10.7	x
	2023-04-19 12:13	10.6	x
	2023-04-19 12:23	10.5	x
	2023-04-19 12:33	10.7	x
	2023-04-19 12:43	10.6	x
	2023-04-19 12:53	10.5	x
	2023-04-19 13:03	10.6	x
	2023-04-19 13:13	10.7	x
	2023-04-19 13:23	10.6	x
	2023-04-19 13:33	10.7	x
	2023-04-19 13:43	10.8	x
	2023-04-19 13:53	10.9	x
	2023-04-19 14:03	11.1	x
	2023-04-19 14:13	10.9	x
	2023-04-19 14:23	10.9	x
	2023-04-19 14:33	11.1	x
	2023-04-19 14:43	10.9	x
	2023-04-19 14:53	10.9	x
	2023-04-19 15:03	10.9	x
	2023-04-19 15:13	10.8	x
	2023-04-19 15:23	10.8	x
	2023-04-19 15:33	10.9	x
	2023-04-19 15:43	10.7	x
	2023-04-19 15:53	10.7	x
	2023-04-19 16:03	10.8	x
	2023-04-19 16:13	10.7	x
	2023-04-19 16:23	10.7	x
	2023-04-19 16:33	10.8	x
	2023-04-19 16:43	10.6	x
	2023-04-19 16:53	10.7	x
	2023-04-19 17:03	10.8	x
	2023-04-19 17:13	10.7	x
	2023-04-19 17:23	10.8	x
	2023-04-19 17:33	10.9	x
	2023-04-19 17:43	10.8	x
	2023-04-19 17:53	10.9	x
	2023-04-19 18:03	10.9	x
	2023-04-19 18:13	10.9	x
	2023-04-19 18:23	11.1	x
	2023-04-19 18:33	10.9	x
	2023-04-19 18:43	10.8	x
	2023-04-19 18:53	10.9	x
	2023-04-19 19:03	10.6	x
	2023-04-19 19:13	10.6	x
	2023-04-19 19:23	10.7	x
	2023-04-19 19:33	10.6	x
	2023-04-19 19:43	10.6	x
	2023-04-19 19:53	10.7	x
	2023-04-19 20:03	10.6	x
	2023-04-19 20:13	10.6	x
	2023-04-19 20:23	10.7	x
	2023-04-19 20:33	10.6	x
	2023-04-19 20:43	10.4	x
	2023-04-19 20:53	10.6	x
	2023-04-19 21:03	10.7	x
	2023-04-19 21:13	10.5	x
	2023-04-19 21:23	10.6	x
	2023-04-19 21:33	10.7	x
	2023-04-19 21:43	10.5	x
	2023-04-19 21:53	10.6	x
	2023-04-19 22:03	10.7	x
	2023-04-19 22:13	10.5	x
	2023-04-19 22:23	10.4	x
